axis,level,criterion_id,requirement_type,evidence_quality_min,reproducibility_min,independence_min,role_in_level,boundary_focus,failure_effect,notes
Step,5,J7,必須,2,1,1,コア,ほぼ自然速度の身近な内容や明瞭な長め説明を理解できる。,これがない場合5は弱い。,ここではリスニングが重要。
Step,5,J4,いずれか必須,2,1,1,補助,一般的な文法パターンは流れを保てる程度にしばしば統制される。,弱くても意思疎通が安定していればステップ5は成立しうる。,小さな誤りを過度に罰しない。
Step,6,J1,補助,2,2,2,コア,基本概念／学術語彙が安定して現れ始める。,これがない場合5に留まる。,5→6の主要境界。
Step,6,J5,必須,2,2,2,コア,発話が単なる文の連鎖ではなく、日本語のまとまった談話としてつながる。,これがない場合5に留まる。,結束が安定。
Step,6,J7,必須,2,1,2,コア,日本語での基本概念内容の複文説明を理解できる。,これがない場合5に留まる。,日本語で概念処理。
Step,6,J9,必須,1,1,1,補助,ある程度の自己修正／言い換えが見られる。,なくても6は可能。,統制成長の兆候。
Step,7,J1,補助,2,2,2,コア,基本概念語彙を超える抽象／学術語彙が現れる。,これがない場合6に留まる。,6→7の主要境界。
Step,7,J2,必須,2,1,2,コア,語彙選択が微妙な意味を支える程度に適切であることが多い。,これがない場合6に留まる。,ここから精密さが重要。
Step,7,J8,必須,2,1,2,コア,文体／レジスター選択が文脈に概ね適切。,これがない場合6に留まる。,高ステップの語用統制。
Step,7,J5,必須,2,2,2,補助,より多様な結束装置が学術的談話を支える。,これがない場合7は不安定。,言語のテクスチャが広がる。
Step,8,J1,補助,3,2,3,コア,抽象／学術語彙の範囲が広く安定し、領域横断的。,これがない場合7に留まる。,ステップ8の主要指標。
Step,8,J2,必須,2,2,3,コア,語選択やコロケーションが要求の高い文脈でも概ね適切。,これがない場合7に留まる。,精密さと柔軟性。
Step,8,J8,必須,2,2,3,コア,レジスター／語用選択が柔軟で文脈感受的。,これがない場合7に留まる。,高い機能的成熟。
Step,8,J7,必須,2,2,2,補助,自然速度で負荷の高い日本語を比較的安定して処理できる。,これがない場合8は弱い。,高度段階配置を支える。
Step,8,J9,補助,2,1,2,補助,意味の正確性を保つため自己モニタリングし再構成できる。,参考指標だが唯一の条件ではない。,高度統制の指標。
