axis,criterion_id,criterion_name,criterion_role,criterion_definition,primary_decision_use,metric_id,metrics_name,type,definition,measurement body,role,comment
Stage,S3,推論の深さ,コア,学習者がどれだけ深く推論できるか：理由説明、因果関係、比較、抽象化、評価、批判など。,C/D/E/F段階の主な区別要因。,M-S3-3,比較・対比数,カウント,選択肢、状況、考えなどを比較・対比している事例の数。,システム,D/Eを支えうる。,1つの発話内で2つの考えを比べるだけならS6とは別。
Stage,S3,推論の深さ,コア,学習者がどれだけ深く推論できるか：理由説明、因果関係、比較、抽象化、評価、批判など。,C/D/E/F段階の主な区別要因。,M-S3-4,一般化・抽象化の存在,二値／順序,学習者が具体例から一般的な説明や抽象的原理へ移っているか。,AI,E段階の主要シグナル。,単純な言語でも現れうる。
Stage,S3,推論の深さ,コア,学習者がどれだけ深く推論できるか：理由説明、因果関係、比較、抽象化、評価、批判など。,C/D/E/F段階の主な区別要因。,M-S3-5,評価・批判の存在,二値／順序,学習者が妥当性、公平性、有効性、限界、代替案などを判断しているか。,AI,F段階の主要シグナル。,単純な肯定・否定の感情とは同じではない。
Stage,S3,推論の深さ,コア,学習者がどれだけ深く推論できるか：理由説明、因果関係、比較、抽象化、評価、批判など。,C/D/E/F段階の主な区別要因。,M-S3-6,反論意識,二値／カウント,学習者が別の立場や想定される異議を認識・予期しているか。,AI,強いFの証拠。,S5と重なることはあるが、主所属はS3。
Stage,S4,聞き取りによる意味構築,コア,話された内容を意味レベルでどれだけ理解できるか：要点、順序、因果関係、比較、抽象的ポイントなど。,理解側からStageを補助する指標。,M-S4-1,WH質問応答正確率,割合,聞いた後の who/what/when/where/why/how 質問への正答率。,システム,文字通り理解から推論的理解への足場。,低い段階の基礎。
Stage,S4,聞き取りによる意味構築,コア,話された内容を意味レベルでどれだけ理解できるか：要点、順序、因果関係、比較、抽象的ポイントなど。,理解側からStageを補助する指標。,M-S4-2,要点把握,割合,短い説明や物語を聞いたあとに、学習者が要点を捉えられるか。,AI,意味レベルの理解。,自然速度の聞き取りとは別。
Stage,S4,聞き取りによる意味構築,コア,話された内容を意味レベルでどれだけ理解できるか：要点、順序、因果関係、比較、抽象的ポイントなど。,理解側からStageを補助する指標。,M-S4-3,順序理解,割合,話された談話における時間的・順序的関係を学習者が理解しているか。,AI,Cを支える。,順序を自分で産出することとは別。
Stage,S4,聞き取りによる意味構築,コア,話された内容を意味レベルでどれだけ理解できるか：要点、順序、因果関係、比較、抽象的ポイントなど。,理解側からStageを補助する指標。,M-S4-4,因果理解,割合,話された談話の中の因果関係を学習者が理解しているか。,AI,Dを支える。,J7の聴解負荷とは別。
Stage,S4,聞き取りによる意味構築,コア,話された内容を意味レベルでどれだけ理解できるか：要点、順序、因果関係、比較、抽象的ポイントなど。,理解側からStageを補助する指標。,M-S4-5,抽象的ポイント理解,割合,話された談話の抽象的・一般化された意味を学習者が把握しているか。,AI,E/Fを支える。,純粋に語彙だけで決まるものではない。
Stage,S4,聞き取りによる意味構築,コア,話された内容を意味レベルでどれだけ理解できるか：要点、順序、因果関係、比較、抽象的ポイントなど。,理解側からStageを補助する指標。,M-S4-6,聴取後要約の質,順序尺度,聞いた内容を学習者がどの程度うまく要約できるか。,AI,複数の考えを統合していればS6も支えうる。,ソースが聞き取りのみの場合はS4として使う。
Stage,S5,意見形成,コア,学習者がどれだけ意見を形成・表現できるか：感想、理由付き意見、根拠付き意見、反対意見を踏まえた立場など。,C→D→E→Fの重要指標。,M-S5-1,感情・好み表明,カウント,単純な好き・嫌い・個人的好みの表明。,システム,低水準の意見の基礎。,B/Cのみを支える。
Stage,S5,意見形成,コア,学習者がどれだけ意見を形成・表現できるか：感想、理由付き意見、根拠付き意見、反対意見を踏まえた立場など。,C→D→E→Fの重要指標。,M-S5-2,理由付き意見,カウント,理由によって明示的に支えられた意見。,システム,C/D境界の中心的指標。,S5の主要指標。
Stage,S5,意見形成,コア,学習者がどれだけ意見を形成・表現できるか：感想、理由付き意見、根拠付き意見、反対意見を踏まえた立場など。,C→D→E→Fの重要指標。,M-S5-3,例・根拠付き意見,カウント,具体例、証拠、または引用された支えによって支えられた意見。,システム／AI,D/Eを支える。,証拠との関係が曖昧な場合はAI検証を使う。
Stage,S5,意見形成,コア,学習者がどれだけ意見を形成・表現できるか：感想、理由付き意見、根拠付き意見、反対意見を踏まえた立場など。,C→D→E→Fの重要指標。,M-S5-4,意見の一貫性,順序尺度,理由や例が、述べられた意見と一貫して結びついているか。,AI,頻度ではなく質の指標。,DとEの判断で重要。
Stage,S5,意見形成,コア,学習者がどれだけ意見を形成・表現できるか：感想、理由付き意見、根拠付き意見、反対意見を踏まえた立場など。,C→D→E→Fの重要指標。,M-S5-5,異なる意見への応答,二値／順序,学習者が自分の意見を述べるだけでなく、他者の意見にも関わっているか。,AI,E/Fを支える。,単なるターン交替ではない。
Stage,S6,情報統合,コア,複数の情報をどれだけ組み合わせて扱えるか：比較、要約、統合、事実と意見の区別、情報源の言及など。,D以降、特にE/Fで重要。,M-S6-1,複数情報参照,カウント,いくつの異なる情報片や情報源をまとめて参照しているか。,システム,情報統合の主要シグナル。,単一ソースの推論はS3/S5寄り。
Stage,S6,情報統合,コア,複数の情報をどれだけ組み合わせて扱えるか：比較、要約、統合、事実と意見の区別、情報源の言及など。,D以降、特にE/Fで重要。,M-S6-2,要約圧縮率,派生,長い情報を要点を保ったままどれだけ効果的に圧縮できているか。,システム／AI,質的チェックが必要。,E/Fで有用。
Stage,S6,情報統合,コア,複数の情報をどれだけ組み合わせて扱えるか：比較、要約、統合、事実と意見の区別、情報源の言及など。,D以降、特にE/Fで重要。,M-S6-3,共通点・相違点の構成,順序尺度,学習者が複数の項目や考えの類似点・相違点を整理しているか。,AI,D/Eを支える。,1つの発話内の単純な比較だけならS3支援にとどまることがある。
Stage,S6,情報統合,コア,複数の情報をどれだけ組み合わせて扱えるか：比較、要約、統合、事実と意見の区別、情報源の言及など。,D以降、特にE/Fで重要。,M-S6-4,事実と意見の分離,順序尺度,学習者が事実と個人的意見・解釈を区別しているか。,AI,高いStageの統合・分析。,E/Fを支える。
Stage,S6,情報統合,コア,複数の情報をどれだけ組み合わせて扱えるか：比較、要約、統合、事実と意見の区別、情報源の言及など。,D以降、特にE/Fで重要。,M-S6-5,情報源参照,カウント,情報がどこから来たか（本文、教師、前の例など）を学習者が示しているか。,システム／AI,高度な課題で有用。,文脈依存。
Stage,S7,聞き手・目的意識,コア,聞き手や目的に応じて表現を調整できるか：説明、例示、構造化、説得的説明など。,E/Fでより顕著。,M-S7-1,聞き手志向の明確化,カウント,聞き手のために言い換えたり明確化したりする場面。,AI,文法修正ではなく、目的・聞き手意識の指標。,E/Fを支える。
Stage,S7,聞き手・目的意識,コア,聞き手や目的に応じて表現を調整できるか：説明、例示、構造化、説得的説明など。,E/Fでより顕著。,M-S7-2,説明のための例使用,カウント,聞き手の理解を助けるために特に例を使っていること。,システム／AI,S5にもS7にもなりうるが、聞き手志向ならここを主所属とする。,単に証拠として例を出しているだけの場合と区別する。
Stage,S7,聞き手・目的意識,コア,聞き手や目的に応じて表現を調整できるか：説明、例示、構造化、説得的説明など。,E/Fでより顕著。,M-S7-3,プレゼンテーション枠づけ,二値／順序,導入、論点構造、結論、サインポストなどの枠づけ言語の使用。,AI,より高次の聞き手形成。,E/Fを支える。
Stage,S7,聞き手・目的意識,コア,聞き手や目的に応じて表現を調整できるか：説明、例示、構造化、説得的説明など。,E/Fでより顕著。,M-S7-4,説得的志向,二値／順序,談話が、聞き手を納得させたり、ある結論へ導いたりするように構成されているか。,AI,強いFの証拠。,単に意見を持っていることとは混同しない。
Stage,S9,多言語リソース修飾,修飾,L1使用・トランスランゲージング・言語支援が許可された場合に高い概念能力が現れるかを示す文脈フラグ。,Stageが日本語Stepより高く見える場合の解釈補助。,M-S9-1,L1支援による概念上昇,二値／順序,L1やトランスランゲージングを使えるときに概念的な高度さが上がるか。,AI,修飾要素のみで、Stageの中核Criterionではない。,Stage > Step のギャップ説明に使う。
Stage,S9,多言語リソース修飾,修飾,L1使用・トランスランゲージング・言語支援が許可された場合に高い概念能力が現れるかを示す文脈フラグ。,Stageが日本語Stepより高く見える場合の解釈補助。,M-S9-2,足場かけによる概念表出,二値／順序,内容教授ではなく、言語的な足場かけの後に高次の推論が現れるか。,AI,修飾要素のみ。,言語ボトルネックと概念ボトルネックを区別する。
Stage,S9,多言語リソース修飾,修飾,L1使用・トランスランゲージング・言語支援が許可された場合に高い概念能力が現れるかを示す文脈フラグ。,Stageが日本語Stepより高く見える場合の解釈補助。,M-S9-3,日本語のみと支援ありの差,派生,日本語のみモードと、支援・トランスランゲージングありモードでの概念的パフォーマンス差。,システム／AI,修飾要素のみ。,解釈には有用だが、それ自体でStage判定はしない。
Step,J1,語彙範囲,コア,使用または理解できる日本語語彙の広さ。日常語から学術語・抽象語まで。,すべてのStepで中心的指標。,M-J1-1,基礎日常語彙カバレッジ,割合,産出・理解課題における高頻度の日常生活語彙のカバー率。,システム,低Stepの語彙カバレッジ。,それ自体で抽象性の代理にしない。
Step,J1,語彙範囲,コア,使用または理解できる日本語語彙の広さ。日常語から学術語・抽象語まで。,すべてのStepで中心的指標。,M-J1-2,語彙多様性指標,派生,type-token ratio や補正済み多様性指標などの語彙多様性。,システム,広がりのみの指標。,サンプル長に敏感なので正規化する。
Step,J1,語彙範囲,コア,使用または理解できる日本語語彙の広さ。日常語から学術語・抽象語まで。,すべてのStepで中心的指標。,M-J1-3,概念語彙の存在,カウント,日常的必要性を超えた学校・基礎概念語彙の存在。,システム／AI,Step 6を支える。,文法誤りと共存しうる。
Step,J1,語彙範囲,コア,使用または理解できる日本語語彙の広さ。日常語から学術語・抽象語まで。,すべてのStepで中心的指標。,M-J1-4,抽象語彙の存在,カウント,より抽象的・学術的な語彙の存在。,システム／AI,Step 7–8を支える。,話題と語彙を同一視しない。
Step,J1,語彙範囲,コア,使用または理解できる日本語語彙の広さ。日常語から学術語・抽象語まで。,すべてのStepで中心的指標。,M-J1-5,トピック横断的語彙幅,順序尺度,語彙範囲が1つの暗記トピックではなく複数領域に広がっているか。,AI,領域横断の広がり。,スクリプト的過大評価を避けるのに有用。
Step,J2,語彙精度,コア,語の選択がどれだけ正確かつ適切か。コロケーションやニュアンスを含む。,高いStepでより重要。,M-J2-1,語選択の正確さ,割合,意図した意味が、誤った語や近いだけの語ではなく、適切な語で表現されている頻度。,AI,広がりではなく精度。,Step 6以降で重要。
Step,J2,語彙精度,コア,語の選択がどれだけ正確かつ適切か。コロケーションやニュアンスを含む。,高いStepでより重要。,M-J2-2,コロケーションの正確さ,割合,語が自然な日本語の連語としてどれだけ組み合わされているか。,AI,高Step指標。,低Stepで創造的だが理解可能な表現を過剰に罰しない。
Step,J2,語彙精度,コア,語の選択がどれだけ正確かつ適切か。コロケーションやニュアンスを含む。,高いStepでより重要。,M-J2-3,近似表現への依存,割合,より正確な語が必要な場面で、曖昧・近似的な言い方に依存する度合い。,AI,精度の逆指標。,広い語彙範囲と共存しうる。
Step,J2,語彙精度,コア,語の選択がどれだけ正確かつ適切か。コロケーションやニュアンスを含む。,高いStepでより重要。,M-J2-4,抽象語の適切さ,順序尺度,抽象的な語が文脈の中で適切に使われているか。,AI,Step 7–8を支える。,高い抽象語彙Stepを付与する前に必要。
Step,J3,文の複雑さ,コア,文構造の複雑さ：語・句、単文、重文、基本的複文、高度な複文など。,初級〜中級Stepの主要境界指標。,M-J3-1,語・句のみ応答率,割合,応答が孤立した語や短い句に限られている割合。,システム,低Step指標。,談話断片率（S2）と混同しない。
Step,J3,文の複雑さ,コア,文構造の複雑さ：語・句、単文、重文、基本的複文、高度な複文など。,初級〜中級Stepの主要境界指標。,M-J3-2,単文率,割合,発話のうち、単純な節・単文であるものの割合。,システム,Step 3の中核基盤。,単文でも高いStageを支えうる。
Step,J3,文の複雑さ,コア,文構造の複雑さ：語・句、単文、重文、基本的複文、高度な複文など。,初級〜中級Stepの主要境界指標。,M-J3-3,基本的複文率,割合,基本的な従属構造や重文構造を持つ発話の割合。,システム,Step 4–5の中核境界。,文法的検証が必要。
Step,J3,文の複雑さ,コア,文構造の複雑さ：語・句、単文、重文、基本的複文、高度な複文など。,初級〜中級Stepの主要境界指標。,M-J3-4,高度複雑構文の存在,カウント,埋め込み、連鎖、その他の高度な複雑文構造の使用。,システム／AI,Step 6+を支える。,すべてのトークンに高精度を要求しない。
Step,J3,文の複雑さ,コア,文構造の複雑さ：語・句、単文、重文、基本的複文、高度な複文など。,初級〜中級Stepの主要境界指標。,M-J3-5,発話あたり平均節数,派生,発話ごとの平均節数。,システム,有用な補助的派生指標。,サンプルタイプに応じて正規化する。
Step,J4,文法運用,コア,助詞、時制、活用、否定など形態・文法の正確さと運用能力。,特にStep3〜6の配置判断を補助。,M-J4-1,助詞の正確さ,割合,必須文脈における主要助詞の正確さ。,システム／AI,談話構成ではなく文法運用。,Step 3–6で重要。
Step,J4,文法運用,コア,助詞、時制、活用、否定など形態・文法の正確さと運用能力。,特にStep3〜6の配置判断を補助。,M-J4-2,動詞活用の正確さ,割合,意図された文脈における時制・アスペクト・丁寧さ活用の正確さ。,システム／AI,主要な文法指標。,単なる言い間違いか能力不足かを区別する。
Step,J4,文法運用,コア,助詞、時制、活用、否定など形態・文法の正確さと運用能力。,特にStep3〜6の配置判断を補助。,M-J4-3,否定・時制の統制,割合,否定表現と時間参照の統制。,システム／AI,中級Stepを支える。,特に語り・説明課題で重要。
Step,J4,文法運用,コア,助詞、時制、活用、否定など形態・文法の正確さと運用能力。,特にStep3〜6の配置判断を補助。,M-J4-4,機能的文型の正確さ,順序尺度,可能・受身・使役・条件形など、課題に関連する形式の正確さ。,AI,より高いStepの文法運用。,引き出し課題でそれらが relevant なときだけ使う。
Step,J4,文法運用,コア,助詞、時制、活用、否定など形態・文法の正確さと運用能力。,特にStep3〜6の配置判断を補助。,M-J4-5,誤りがあっても意味保持,割合,誤りがあっても意味が崩壊せず保たれている頻度。,AI,補助的な許容指標。,過小評価を防ぐのに役立つ。
Step,J5,結束性と接続,コア,接続詞・指示語などを使って発話同士をどれだけ結びつけられるか。,Step4〜6付近で重要。,M-J5-1,高頻度接続表現の多様性,カウント,and/then/because/but に相当する基本接続表現の種類の多さ。,システム,Step 5付近で重要。,J5の主要指標。
Step,J5,結束性と接続,コア,接続詞・指示語などを使って発話同士をどれだけ結びつけられるか。,Step4〜6付近で重要。,M-J5-2,高頻度接続表現の正確さ,割合,基本接続表現の正確さと適切さ。,システム／AI,種類だけでは不十分。,Step 5を支える。
Step,J5,結束性と接続,コア,接続詞・指示語などを使って発話同士をどれだけ結びつけられるか。,Step4〜6付近で重要。,M-J5-3,参照表現の使用,カウント／割合,文同士をつなぐ代名詞、指示表現、語彙反復の使用。,システム,文を超えた結束性。,Step 6+を支えうる。
Step,J5,結束性と接続,コア,接続詞・指示語などを使って発話同士をどれだけ結びつけられるか。,Step4〜6付近で重要。,M-J5-4,談話結束性評価,順序尺度,文が日本語として一貫した全体に結びついているという総合的印象。,AI,Stageレベルの談話高度さではなく、言語形式の結束性。,Step 6+で有用。
Step,J5,結束性と接続,コア,接続詞・指示語などを使って発話同士をどれだけ結びつけられるか。,Step4〜6付近で重要。,M-J5-5,低頻度・学術的接続表現の存在,カウント,より低頻度または学術的な接続表現の存在。,システム／AI,Step 7–8を支える。,低いStepでは必須ではない。
Step,J6,相互行為機能,コア,挨拶、質問、依頼、確認、会話継続など、日本語での基本的コミュニケーション機能の遂行能力。,初級〜中級Stepで重要。,M-J6-1,定型的やりとり成功率,割合,挨拶、簡単な質問、感謝、謝罪など定型的やりとりの成功。,システム,低Stepの機能的基盤。,Step 1–2で有用。
Step,J6,相互行為機能,コア,挨拶、質問、依頼、確認、会話継続など、日本語での基本的コミュニケーション機能の遂行能力。,初級〜中級Stepで重要。,M-J6-2,基本的要求・応答成功率,割合,簡単なやりとりで必要な情報を求めたり提供したりできる能力。,システム,Step 2–4を支える。,機能であり、複雑さではない。
Step,J6,相互行為機能,コア,挨拶、質問、依頼、確認、会話継続など、日本語での基本的コミュニケーション機能の遂行能力。,初級〜中級Stepで重要。,M-J6-3,質問生成,カウント／割合,学習者が自分で情報を求める質問を作れるか。,システム,定型表現を超えて重要。,Step 3+を支える。
Step,J6,相互行為機能,コア,挨拶、質問、依頼、確認、会話継続など、日本語での基本的コミュニケーション機能の遂行能力。,初級〜中級Stepで重要。,M-J6-4,相互行為の持続,順序尺度,複数ターンにわたってやりとりを続けられる能力。,AI,単なる長さではない。,Step 4+で有用。
Step,J6,相互行為機能,コア,挨拶、質問、依頼、確認、会話継続など、日本語での基本的コミュニケーション機能の遂行能力。,初級〜中級Stepで重要。,M-J6-5,機能範囲の広さ,順序尺度,扱えるコミュニケーション機能の幅（質問、明確化、確認、交渉、説明など）。,AI,中〜高Stepを支える。,J8との二重計上を避ける。
Step,J7,日本語聴解処理,コア,話速・長さ・言語難易度などの観点から、日本語音声をどれだけ理解できるか。,聴解の言語処理側面。,M-J7-1,ゆっくり明瞭な音声の理解,割合,日本語がよりゆっくり明瞭に話されたときの理解。,システム,初期Stepの聴解アンカー。,言語処理指標。
Step,J7,日本語聴解処理,コア,話速・長さ・言語難易度などの観点から、日本語音声をどれだけ理解できるか。,聴解の言語処理側面。,M-J7-2,準自然速度音声の理解,割合,より自然な速度に近い音声の理解。,システム,中〜高Stepの識別要因。,概念的深さとは分ける。
Step,J7,日本語聴解処理,コア,話速・長さ・言語難易度などの観点から、日本語音声をどれだけ理解できるか。,聴解の言語処理側面。,M-J7-3,長い説明の理解,割合,複数文からなる話し言葉の説明を聞いた後の理解。,システム／AI,単一質問理解より高い。,Step 5+を支える。
Step,J7,日本語聴解処理,コア,話速・長さ・言語難易度などの観点から、日本語音声をどれだけ理解できるか。,聴解の言語処理側面。,M-J7-4,言語負荷下での理解,順序尺度,語彙・構造負荷が上がると理解が落ちるか。,AI,診断的指標。,Stepの上限設定に使う。
Step,J7,日本語聴解処理,コア,話速・長さ・言語難易度などの観点から、日本語音声をどれだけ理解できるか。,聴解の言語処理側面。,M-J7-5,明確化要求頻度,割合,日本語音声理解のために繰り返し・簡略化・明確化が必要となる頻度。,システム,処理独立性の逆指標。,independenceの判断にも使える。
Step,J8,レジスターと語用論,コア,状況や関係性に応じた適切な文体・表現を使える能力。,Step7〜8でより重要。,M-J8-1,丁寧体・普通体の適切さ,割合,文脈に対して丁寧体/普通体の選択が適切か。,AI,高Stepの語用論的統制。,Step 7+を支える。
Step,J8,レジスターと語用論,コア,状況や関係性に応じた適切な文体・表現を使える能力。,Step7〜8でより重要。,M-J8-2,定型的丁寧表現の統制,割合,学校・面接場面などで期待される一般的な丁寧表現の正確さ。,システム／AI,完全な語用論統制より早く現れることがある。,暗記した定型使用と柔軟な使用を区別する。
Step,J8,レジスターと語用論,コア,状況や関係性に応じた適切な文体・表現を使える能力。,Step7〜8でより重要。,M-J8-3,文脈に適した枠づけ,順序尺度,導入・締め・やりとりの言い回しが場面と目的に合っているか。,AI,高いStepを支える。,談話内容構造ではなく語用論。
Step,J8,レジスターと語用論,コア,状況や関係性に応じた適切な文体・表現を使える能力。,Step7〜8でより重要。,M-J8-4,高度なレジスター感受性,順序尺度,相手との距離、役割、課題のフォーマルさに応じて表現を調整しているか。,AI,Step 8を支える。,すべての課題で敬語の完全習得を求めない。
Step,J9,自己モニタリングと修正,コア,会話中に日本語表現を気づいて言い直す・修正する能力。,中〜上級Stepで有用な補助指標。,M-J9-1,自己修正回数,カウント,学習者が自発的に日本語出力を修正した場面の数。,システム,誤り率ではなく修正能力。,補助的。
Step,J9,自己モニタリングと修正,コア,会話中に日本語表現を気づいて言い直す・修正する能力。,中〜上級Stepで有用な補助指標。,M-J9-2,正確さのための言い換え,カウント／順序,最初の言い方では不十分なときに言い換えられるか。,AI,より高い機能的統制を支える。,Step 6+を支えうる。
Step,J9,自己モニタリングと修正,コア,会話中に日本語表現を気づいて言い直す・修正する能力。,中〜上級Stepで有用な補助指標。,M-J9-3,促し後修正成功率,割合,最小限の促しの後に出力を修正できるか。,システム／AI,independenceと関連する補助指標。,Step判定の主要基準ではない。
Step,J9,自己モニタリングと修正,コア,会話中に日本語表現を気づいて言い直す・修正する能力。,中〜上級Stepで有用な補助指標。,M-J9-4,意味保持的な再表現,順序尺度,言い換えによって意図した意味を適切に保てているか。,AI,価値の高い補助指標。,文法が完全でなくても有用。
